,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/22/1999,51.0,10.4649,32827.3415,4.747,15.8714,16.7621,6.6732,-0.07105330244621544,-0.001740171357001219,0.8477095491923494,1.3136236109151895,-0.002908809707929283,-0.06943395807425823,0.13326347102968028,0.039822082383100144,0.01831906281993612,0.02262061459559614
6/23/1999,51.0,10.4649,32827.3415,4.747,15.8714,16.7133,6.6732,-0.06620740517255819,0.006397255605280927,0.845241587182781,1.309799219447971,-0.0029113297259889537,-0.07214314265411259,0.1527924348707761,0.039822082383100144,0.01830415569166827,0.02245468648502785
6/24/1999,51.0,10.4649,32827.3415,4.747,15.8714,16.9576,6.6732,-0.049978431010044955,-0.010005770405104863,0.8575965691282228,1.328944687387345,0.01461710135042149,-0.04037666019659214,0.13896538291041471,0.039822082383100144,0.018343030785697746,0.02229156437647775
6/25/1999,51.0,10.4649,32827.3415,4.747,15.8714,17.1042,6.6732,-0.04696049479021569,0.023836852955925858,0.8650105697553279,1.3404335355245216,0.008645091286502815,-0.06914905196247045,0.15258965754255427,0.03021632074835301,0.015905499979211108,0.022293988695716617
6/28/1999,51.0,10.4649,32827.3415,4.747,15.8714,17.2508,6.6732,-0.09287479623494754,-0.054330336015144365,0.8724245703824332,1.3519223836616983,0.00857099425872021,-0.04075890523693526,0.06764534775773923,0.03021632074835301,0.015546819869087836,0.0193854192614657
6/29/1999,51.0,10.4649,32827.3415,4.747,15.8714,17.8372,6.6732,-0.05963106867774126,-0.05190238450467366,0.9020805728908534,1.3978777762104042,0.033992626428919204,-0.008151781047387008,0.14906720263863127,0.033992626428919204,0.017408724968467775,0.019112448597003652
6/30/1999,51.0,10.4649,32827.3415,4.747,15.8714,17.5929,6.6732,-0.06290149037488424,-0.03426583856225163,0.8897255909454116,1.3787323082710303,-0.013696095799789143,-0.029651691900388966,0.13332946815089675,0.033992626428919204,0.01753403873787068,0.019217637808539027
7/1/1999,51.0,10.4649,32827.3415,4.747,15.8714,18.0816,6.6732,-0.04674641375347277,-0.033867030782937735,0.9144406121354953,1.417031081017539,0.02777825145371149,-0.01333085960307534,0.17964509394572037,0.033992626428919204,0.018485522715760445,0.019390007381439502
7/2/1999,51.0,10.4649,32827.3415,4.747,15.8714,17.6906,6.6732,-0.04029121209984099,-0.011126602398919272,0.8946665722637483,1.3863889280732278,-0.02162419254933201,-0.029492763959140245,0.139623273551845,0.033992626428919204,0.019033272230219247,0.019588531053845268
7/5/1999,51.0,10.4649,32827.3415,4.747,15.8714,17.6906,6.6732,-0.03263449150781417,-0.027286547021446617,0.8946665722637483,1.3863889280732278,0.0,-0.0054979649659328,0.1504734405077779,0.033992626428919204,0.0182973805760891,0.019533671585975458
