,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
10/24/2014,-784.194,23997.1851,4.4338,46.1522,49.95,4.7672,0.9211538461538462,0.9788461538461539,0.6813531578229437,1.637704918032787,0.005637205556674019,-0.029154518950437303,0.2943767815496243,0.04030858244937319,0.03107823144736598,0.03511843151736792
10/27/2014,-784.194,23997.1851,4.4338,46.1522,48.56,4.7672,0.08151447661469935,0.15567928730512248,0.6623925794571,1.5921311475409836,-0.02782782782782789,-0.06417421468491036,0.048812095032397584,0.04030858244937319,0.03153339542132612,0.024961309289373058
10/28/2014,-784.194,23997.1851,4.4338,46.1522,43.78,4.7672,0.05114045618247309,0.24225690276110456,0.5971900150047742,1.4354098360655738,-0.09843492586490943,-0.15384615384615385,-0.031201593272847883,0.04030858244937319,0.03783066220662061,0.027770860616682925
10/29/2014,-784.194,23997.1851,4.4338,46.1522,42.08,4.7672,-0.019114219114219066,0.20233100233100232,0.5740008184422316,1.3796721311475408,-0.03883051621745093,-0.18417991469561845,-0.046453659641967016,0.04030858244937319,0.03843470619577457,0.02804546736105355
10/30/2014,-784.194,23997.1851,4.4338,46.1522,41.8,4.7672,-0.0023866348448687846,0.19474940334128887,0.5701814213613422,1.3704918032786884,-0.0066539923954372915,-0.1650019976028766,-0.03841729928686455,0.04030858244937319,0.038146245574521113,0.027995235885205087
10/31/2014,-784.194,23997.1851,4.4338,46.1522,41.47,4.7672,-0.02652582159624417,0.21713615023474175,0.5656799890874369,1.359672131147541,-0.007894736842105177,-0.20019286403085834,-0.05384439881359793,0.04030858244937319,0.03681824537413299,0.027990116652757836
11/3/2014,-784.194,23997.1851,4.4338,46.1522,40.21,4.7672,-0.10024614007607957,0.20698142761244132,0.5484927022234347,1.318360655737705,-0.030383409693754526,-0.2545420837968112,-0.07478140819144041,0.03957350830428541,0.03519257430602948,0.02822624317648023
11/4/2014,-784.194,23997.1851,4.4338,46.1522,40.9,4.7672,-0.07003183265120505,0.2162346521145977,0.5579047878870549,1.340983606557377,0.01715991047003218,-0.2353710974013835,-0.0488372093023256,0.03957350830428541,0.035806154311627,0.028288005315112864
11/5/2014,-784.194,23997.1851,4.4338,46.1522,40.37,4.7672,-0.018716577540107027,0.301166747690812,0.5506752148410857,1.323606557377049,-0.012958435207824026,-0.24584345226975535,-0.06399258057036872,0.03957350830428541,0.03568561814437106,0.028328513830656297
11/6/2014,-784.194,23997.1851,4.4338,46.1522,40.84,4.7672,-0.021796407185628697,0.3274251497005989,0.5570863456554358,1.3390163934426231,0.011642308645033683,-0.26308191988451823,-0.056159001617749005,0.03957350830428541,0.03444528590774929,0.02836684321642714
