,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,67.23899999999999,12216.8507,6.5641,14.311,10.9394,7.6916,-0.17538067239559774,-0.1590456806874716,0.8282279190200027,1.249174974021673,0.005311718864872583,-0.01942435080359639,0.14351121099670716,0.03368560697734879,0.018822226049613762,0.026778870925926394
6/28/1999,67.23899999999999,12216.8507,6.5641,14.311,10.8671,7.6916,-0.17724595327145254,-0.12691358398570585,0.824558208706077,1.2409190047160654,-0.006609137612666016,-0.057648782941232546,0.08669913300866994,0.03365919739078649,0.01711071331462612,0.026232391062313523
6/29/1999,67.23899999999999,12216.8507,6.5641,14.311,10.9538,7.6916,-0.16335945495928994,-0.11920474160976424,0.831136706805369,1.250819316455985,0.007978209457904839,-0.050130507548626024,0.13813991666926428,0.03365919739078649,0.0172611876487857,0.025757055706993565
6/30/1999,67.23899999999999,12216.8507,6.5641,14.311,11.0405,7.6916,-0.15487189693578396,-0.11946845074519474,0.8377152049046611,1.260719628195905,0.007915061439865756,-0.04020690254716164,0.14714836403686493,0.03365919739078649,0.01740428510293154,0.025764579360914457
7/1/1999,67.23899999999999,12216.8507,6.5641,14.311,10.9538,7.6916,-0.15307416341931102,-0.09050071132553972,0.831136706805369,1.250819316455985,-0.007852905212626271,-0.06879989118514684,0.14156783458740652,0.03365919739078649,0.01651401011413874,0.025788528740363314
7/2/1999,67.23899999999999,12216.8507,6.5641,14.311,10.8671,7.6916,-0.16906125507527847,-0.11380858075714351,0.824558208706077,1.2409190047160654,-0.007915061439865534,-0.06234846458493315,0.17683177752268753,0.03365919739078649,0.016342983999332157,0.025311103133754086
7/5/1999,67.23899999999999,12216.8507,6.5641,14.311,10.8671,7.6916,-0.15505431021747407,-0.068538950183885,0.824558208706077,1.2409190047160654,0.0,-0.0928813502729594,0.18052643585760397,0.018968944565298962,0.014066839806388221,0.025302153575493008
7/6/1999,67.23899999999999,12216.8507,6.5641,14.311,10.8671,7.6916,-0.15789596038652576,-0.07726642231125092,0.824558208706077,1.2409190047160654,0.0,-0.08738116832947018,0.18987189313478603,0.018968944565298962,0.0140963502781268,0.025267402549745653
7/7/1999,67.23899999999999,12216.8507,6.5641,14.311,10.5203,7.6916,-0.20175578369109126,-0.09868505914578163,0.8088867360198064,1.201317757756386,-0.031912837831620244,-0.11435594804145233,0.0865721279474494,0.018968944565298962,0.01532108619915706,0.024566559005038853
7/8/1999,67.23899999999999,12216.8507,6.5641,14.311,10.4047,7.6916,-0.2000015377636304,-0.10555978440553915,0.8108148125058446,1.1881173421031594,-0.010988279801906864,-0.10558755265193842,0.07143445577180518,0.018968944565298962,0.014987943754413676,0.024616976306206385
7/9/1999,67.23899999999999,12216.8507,6.5641,14.311,10.6793,7.6916,-0.16778622860883396,-0.12387394407904984,0.8416916905082794,1.2194740388019136,0.026391919036589107,-0.050120966307325654,0.0572308240605075,0.026391919036589107,0.015025686605589615,0.024326079409728113
7/12/1999,67.23899999999999,12216.8507,6.5641,14.311,10.7082,7.6916,-0.14235599410520916,-0.1076359966681617,0.8439694512094199,1.2227741427152203,0.002706169880048348,-0.03890788658822264,0.01786070739427581,0.026391919036589107,0.014983413979864215,0.023773719481074096
7/13/1999,67.23899999999999,12216.8507,6.5641,14.311,10.4191,7.6916,-0.1693559959819506,-0.1221199993622144,0.821183962673098,1.1897616845374714,-0.02699800153153653,-0.05380689454756793,-0.024364892830054385,0.026391919036589107,0.015838038394584225,0.023949127198181756
7/14/1999,67.23899999999999,12216.8507,6.5641,14.311,10.2891,7.6916,-0.17592266290766967,-0.1076359966681617,0.8109379802804245,1.174916926449933,-0.012477085352861628,-0.07652333126901645,-0.11771666709541329,0.026391919036589107,0.015625175052614165,0.02088890715812233
7/15/1999,67.23899999999999,12216.8507,6.5641,14.311,10.2891,7.6916,-0.17401077331877624,-0.09976960190098494,0.8109379802804245,1.174916926449933,0.0,-0.0824690785542943,-0.15237914785646034,0.026391919036589107,0.015478065316581168,0.020164500699714333
7/16/1999,67.23899999999999,12216.8507,6.5641,14.311,10.6793,7.6916,-0.14268626522273153,-0.11020575272744781,0.8416916905082794,1.2194740388019136,0.03792362791692172,-0.03650339681880932,-0.12853342472907692,0.03792362791692172,0.0178495545940154,0.02074496063093981
7/19/1999,67.23899999999999,12216.8507,6.5641,14.311,10.607000000000001,7.6916,-0.10922436091235843,-0.10437031811616115,0.8359933479929698,1.211218069496306,-0.006770106654930386,-0.005419698447228116,-0.13951016898277713,0.03792362791692172,0.01587886288187733,0.02072883335000836
