,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
10/13/2008,20.247,37.0537,13762.4154,7.7869,19.544,11.45,17.0169,-0.6160295103957076,-0.5305164319248826,0.3231724527236805,1.2206823027718547,-0.03700588730025245,-0.18214285714285716,0.14500000000000002,0.1499032882011606,0.05549524530925153,0.05082268964720068
10/14/2008,20.247,37.0537,13762.4154,7.7869,19.544,11.53,17.0169,-0.6396875,-0.5709375,0.32543042619249224,1.2292110874200424,0.006986899563318882,-0.16023306627822298,0.11400966183574868,0.1499032882011606,0.05552601399952601,0.0506642415336879
10/15/2008,20.247,37.0537,13762.4154,7.7869,19.544,10.31,17.0169,-0.7028818443804035,-0.5985590778097983,0.2909963307931132,1.0991471215351811,-0.1058109280138767,-0.25987078248384776,0.04246713852376138,0.1499032882011606,0.05929315430634172,0.05215853491223772
10/16/2008,20.247,37.0537,13762.4154,7.7869,19.544,10.45,17.0169,-0.7050522156364663,-0.6088060965283658,0.3055555555555555,1.1140724946695095,0.013579049466537318,-0.24603174603174605,0.008687258687258614,0.1499032882011606,0.059549735783261164,0.051855163772076364
10/17/2008,20.247,37.0537,13762.4154,7.7869,19.544,10.57,17.0169,-0.6909356725146198,-0.5921052631578948,0.32294531011304617,1.126865671641791,0.011483253588516762,-0.24229390681003582,-0.01491146318732528,0.1499032882011606,0.059635727326577334,0.051686609160491254
10/20/2008,20.247,37.0537,13762.4154,7.7869,19.544,10.6,17.0169,-0.6761380996028108,-0.5508707607699358,0.32695866748920416,1.1300639658848612,0.002838221381267658,-0.2789115646258503,-0.0774586597040906,0.1499032882011606,0.05786104715478661,0.0509107203937986
10/21/2008,20.247,37.0537,13762.4154,7.7869,19.544,10.23,17.0169,-0.6844540407156077,-0.6039481801357187,0.32476190476190475,1.0906183368869935,-0.03490566037735843,-0.20327102803738317,-0.10732984293193715,0.1499032882011606,0.052108589801005134,0.05109966327674423
10/22/2008,20.247,37.0537,13762.4154,7.7869,19.544,9.34,17.0169,-0.7034920634920635,-0.5971428571428572,0.29716831053133946,1.0,-0.08699902248289348,-0.26398739164696605,-0.17998244073748904,0.1499032882011606,0.05478964642866051,0.05224593209170965
10/23/2008,20.247,37.0537,13762.4154,7.7869,19.544,9.32,17.0169,-0.703468024180719,-0.6127903277123767,0.30368198110133593,1.0,-0.0021413276231262435,-0.23418241577649956,-0.12075471698113205,0.1499032882011606,0.054455389029910976,0.05152533160424484
10/24/2008,20.247,37.0537,13762.4154,7.7869,19.544,8.97,17.0169,-0.6943781942078364,-0.5713798977853493,0.29227761485826004,1.0,-0.037553648068669454,-0.28696343402225755,-0.1874999999999999,0.1499032882011606,0.05373127655129195,0.051442712042815024
