,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
10/27/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.662,12.7897,-0.10765486187172935,-0.13773883412437626,0.8179830432842481,1.1917950718418828,-0.007337611350282991,0.03488962908598192,0.02133942500557162,0.1307356931613768,0.03743562340540613,0.025765542939213106
10/30/2000,743.0,21.0067,102707.1102,9.81,16.2808,37.783,12.7897,-0.15700580098170458,-0.22253458277554672,0.8665626935162036,1.2282361354918407,0.03057661884239815,0.0842851403317455,0.053713361407814464,0.1307356931613768,0.0376677334363773,0.02603848287950063
10/31/2000,743.0,21.0067,102707.1102,9.81,16.2808,37.551,12.7897,-0.13875828536042756,-0.1963487075984497,0.8828051532819259,1.2206943631753464,-0.00614032766058803,0.07166095890410973,0.05176035627258213,0.1307356931613768,0.037737830838992535,0.026045747772996487
11/1/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.855,12.7897,-0.10792951541850215,-0.15280534443530025,0.8664425427872859,1.1980690462258632,-0.018534792681952683,0.0529699151452816,0.0367380235730963,0.1307356931613768,0.03804493343924343,0.026155030247388435
11/2/2000,743.0,21.0067,102707.1102,9.81,16.2808,37.937,12.7897,-0.05019778679084674,-0.09083170597366186,0.8918798194470565,1.2332423119433067,0.02935829602496276,0.0446935066365588,0.07181805339737224,0.1307356931613768,0.037716525504310004,0.026389734777727138
11/3/2000,743.0,21.0067,102707.1102,9.81,16.2808,37.435,12.7897,-0.09305649772264757,-0.12394611880996231,0.8800780515328193,1.2169234770170991,-0.013232464348788664,0.035259955752212635,0.06810659666742747,0.1307356931613768,0.037850437689845785,0.026416804325983038
11/6/2000,743.0,21.0067,102707.1102,9.81,16.2808,37.086999999999996,12.7897,-0.08284491925711601,-0.11244652174988246,0.8718967462854992,1.2056108185423575,-0.009296113262989292,0.033351908609640546,0.08071801148119007,0.1307356931613768,0.037876143515300005,0.026299746701367248
11/7/2000,743.0,21.0067,102707.1102,9.81,16.2808,37.049,12.7897,-0.060766617654514965,-0.10875627440044622,0.8710033853676885,1.2043755282491386,-0.0010246177906003684,0.053845716236204266,0.027711511789181742,0.1307356931613768,0.03753049005799802,0.0255436351280769
11/8/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.933,12.7897,-0.040551774302488686,-0.054605912609757445,0.8682762836185819,1.2006046420908916,-0.0031309886906528694,0.01486590459441639,0.01581495131745414,0.1307356931613768,0.03682067938060057,0.02552848208555212
11/9/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.236999999999995,12.7897,-0.10217784494933235,-0.11939743812095827,0.851913673123942,1.1779793251414081,-0.01884493542360499,0.01955433008834606,0.0030448141279375562,0.1307356931613768,0.03668240540857477,0.025631337248362362
11/10/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.044000000000004,12.7897,-0.13071580165927055,-0.18382211074667176,0.8473763400413767,1.1717053507574282,-0.005326047962027514,0.06506707641392362,0.010626664797420471,0.1307356931613768,0.03495441162160355,0.0255867980124487
11/13/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.469,12.7897,-0.12046594636311014,-0.15587015242137758,0.8573678766221553,1.1855210974579027,0.01179114415714122,0.04194165880974832,0.03258961436094898,0.1307356931613768,0.03430605306874219,0.025591968003636653
11/14/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.933,12.7897,-0.12778669941432064,-0.18344983941054205,0.8682762836185819,1.2006046420908916,0.012723134717157025,0.06816867191115228,0.05610362872094021,0.1307356931613768,0.034204814157378666,0.025598356200152668
11/15/2000,743.0,21.0067,102707.1102,9.81,16.2808,36.469,12.7897,-0.11637429734444649,-0.17440395425470057,0.8573678766221553,1.1855210974579027,-0.012563290282403217,0.07028819627868765,0.05325631768953065,0.1307356931613768,0.03415544377455129,0.02561917976588521
