,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.409000000000002,5.3841,0.365805422647528,0.314322169059011,0.8638234344738541,1.7974141549827893,0.021714231173045828,0.03917095427628414,-0.0429165362778845,0.027991298042059576,0.020548895402184526,0.019979331387579322
6/28/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.596,5.3841,0.38223246287762414,0.31592421915002555,0.8713686249193027,1.81311392830157,0.008734644308468376,0.0503891050583658,-0.034988158541489844,0.027991298042059576,0.02057661403796148,0.02001291552286372
6/29/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.838,5.3841,0.4762766645119587,0.3290239172592113,0.9214816010329244,1.9173872890605324,0.0575106501203928,0.11079766536964986,0.029991431019708692,0.0575106501203928,0.023796037393098678,0.021263759062195322
6/30/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.749000000000002,5.3841,0.5311069563535558,0.3509122558184514,0.9582391865719819,1.993871211485182,0.039889657588230154,0.1333874200629952,0.07107743652189602,0.0575106501203928,0.02480871204894483,0.02182920812761198
7/1/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.583000000000002,5.3841,0.5114401076716018,0.36678843812087414,0.9515413169786959,1.9799345143144995,-0.00698976799023121,0.10583325518146869,0.04943930224279125,0.0575106501203928,0.024823724350875105,0.021797639995271713
7/2/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.19,5.3841,0.4755663018579792,0.3899210995164166,0.9356843124596513,1.9469398035429437,-0.01666454649535687,0.06161875114447901,0.03670257946264921,0.0575106501203928,0.024848961288915634,0.021900449772774812
7/5/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.19,5.3841,0.46893013238740733,0.41515170710077887,0.9356843124596513,1.9469398035429437,0.0,0.0380018799516586,0.04295030357544416,0.0575106501203928,0.02444396313651481,0.021883454098228974
7/6/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.148000000000003,5.3841,0.49631544925662596,0.46554621848739464,0.933989670755326,1.943413651246747,-0.0018111254851228553,0.02099505998588591,0.04689973316448848,0.0575106501203928,0.024278858955907284,0.02187060823447375
7/7/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.230999999999998,5.3841,0.5299657534246573,0.46318493150684903,0.9373386055519688,1.950381999832088,0.0035856229479866997,0.04564072557050913,0.06711070280202103,0.0575106501203928,0.0237830950055153,0.02177181079051008
7/8/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.293000000000003,5.3841,0.5116490362775004,0.39613213057304186,0.9398402194964494,1.9555872722693313,0.0026688476604539435,0.08274066843304051,0.06589484281334368,0.0575106501203928,0.02246662577947654,0.021770128707027114
7/9/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.169,5.3841,0.4714213133494223,0.3149371268893688,0.9348369916074887,1.9451767273948453,-0.005323487743098876,0.1190050712388313,0.06226216129475959,0.0575106501203928,0.020497957764372847,0.021782328357930855
7/12/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.252,5.3841,0.48338118022328525,0.3011164274322169,0.9381859264041316,1.9521450759801864,0.0035823729984030273,0.14008335376317715,0.023866138265081327,0.0575106501203928,0.019961283443320637,0.021174520383483872
7/13/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.651999999999997,5.3841,0.46321297073832435,0.33744590142755615,0.9139767591994833,1.9017714717488035,-0.025804231894030694,0.09403525718425487,-0.0311791625678971,0.0575106501203928,0.021038907369433462,0.02110207744555886
7/14/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.148000000000003,5.3841,0.4549340037712133,0.30012570710245123,0.933989670755326,1.943413651246747,0.021896521278474523,0.1190717911530097,-0.013467439481759214,0.0575106501203928,0.021331589586180852,0.02128166323757646
7/15/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.796,5.3841,0.47356173238526167,0.37453135100193924,0.919786959328599,1.9138611367643354,-0.015206497321582968,0.0720466516177578,-0.05344018602333611,0.0575106501203928,0.021144922567236126,0.02109458403083233
7/16/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.273000000000003,5.3841,0.5214094266849711,0.4198862522063149,0.9390332472562944,1.953908152128285,0.020924723635725728,0.07150092081031323,-0.006361540432072155,0.0575106501203928,0.021123186965433586,0.020983612287071116
7/19/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.859,5.3841,0.450812388931201,0.3942625031733946,0.9223289218850871,1.9191503652086308,-0.017788854036866808,0.04055899490167514,0.010699915992395281,0.0575106501203928,0.021533567595204122,0.020645369335655684
7/20/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.589000000000002,5.3841,0.44200446856048536,0.42087456112352406,0.9114347966429954,1.8964822433045088,-0.011811540312349655,0.014871057597268367,-0.009384730079375458,0.0575106501203928,0.02158128609518397,0.020676860647397332
7/21/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.293000000000003,5.3841,0.4725629030218741,0.3770388165381209,0.9398402194964494,1.9555872722693313,0.031165611580858066,0.06936920392985058,0.013708764905561832,0.0575106501203928,0.02190959596942262,0.02102525786342425
7/22/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.252,5.3841,0.5251213433031616,0.406991997901089,0.9381859264041316,1.9521450759801864,-0.0017601854634441416,0.08395878980000915,0.0096396005210595,0.0575106501203928,0.021531577978035656,0.02102572118920635
7/23/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.816999999999997,5.3841,0.5169869024665912,0.3931254570839706,0.9206342801807615,1.9156242129124337,-0.018708068123172272,0.08890903884699797,-0.0402540590561119,0.0575106501203928,0.021269879895310064,0.020756560001105862
7/26/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.879,5.3841,0.5221209500365913,0.424323065664294,0.9231358941252421,1.920829485349677,0.0027172722093178336,0.06866271194357498,-0.04014935391844254,0.0575106501203928,0.0208917736055114,0.020756823641550622
7/27/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.859,5.3841,0.5481882831019302,0.4626481544192347,0.9223289218850871,1.9191503652086308,-0.0008741640805979278,0.05848305241711427,-0.04054564533053506,0.0575106501203928,0.020873662119827458,0.02075689616488148
7/28/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,23.252,5.3841,0.5693844492440605,0.541441684665227,0.9381859264041316,1.9521450759801864,0.017192353121308734,0.018127681933619355,-0.02743851430483535,0.039889657588230154,0.017117072153951758,0.020870290039497034
7/29/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.61,5.3841,0.5771484375000002,0.6565987723214288,0.9122821174951581,1.8982453194526068,-0.027610528126612688,-0.04795991410164646,-0.07894736842105277,0.031165611580858066,0.015729441231828793,0.020860272686289535
7/30/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,22.092,5.3841,0.5172034887713755,0.6196003021770484,0.8913815364751451,1.854756107799513,-0.02291021671826632,-0.06322350845948366,-0.09433034067150414,0.031165611580858066,0.01634253920263387,0.0210313903825508
8/2/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.968000000000004,5.3841,0.5097244175658036,0.5937049000068726,0.8863783085861847,1.8443455629250276,-0.005612891544450216,-0.052695127210004244,-0.09005053433849708,0.031165611580858066,0.016055184420479072,0.02100758038050638
8/3/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.72,5.3841,0.5248525695029485,0.6280539174389215,0.8763718528082632,1.8235244731760558,-0.011289147851420434,-0.06338939197930149,-0.09018556528295574,0.031165611580858066,0.01615765578769322,0.021008699649171125
8/4/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.533,5.3841,0.47264396115442486,0.5830939679934348,0.8688266623628147,1.807824699857275,-0.008609576427255905,-0.0697684465180578,-0.10309063645451522,0.031165611580858066,0.016200916368450485,0.02100959853213084
8/5/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.451,5.3841,0.4608417324979568,0.5820621084173248,0.8655180761781794,1.800940307278986,-0.003808108484651518,-0.07662175541302563,-0.12387681751347823,0.031165611580858066,0.01612365125615586,0.020832756493916672
8/6/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.264,5.3841,0.46064019782937216,0.600013738150845,0.8579728857327307,1.7852405339602049,-0.008717542305720083,-0.0871077147640924,-0.14202711426726933,0.031165611580858066,0.016091417199930888,0.020770680891013398
8/9/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.016,5.3841,0.44569030749122907,0.5937951434271169,0.8479664299548094,1.7644194442112333,-0.01166290443942819,-0.09292589235616566,-0.1332178503670709,0.031165611580858066,0.016172660335151245,0.02065689170327972
8/10/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,20.601999999999997,5.3841,0.44992610317404425,0.6364276162995282,0.8312621045836021,1.729661657291579,-0.01969927674153038,-0.11396869086530204,-0.1473740843438316,0.031165611580858066,0.016386804442630395,0.020775692239778095
8/11/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,20.933000000000003,5.3841,0.4785280406837127,0.5999434948439044,0.8446174951581666,1.7574510956258924,0.016066401320260493,-0.07588733886632504,-0.10687771994197448,0.031165611580858066,0.01635510652205979,0.020595384393979264
8/12/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.989,5.3841,0.5565229701989098,0.6385644510511788,0.8872256294383473,1.8461086390731258,0.05044666316342594,-0.050069120442370885,-0.03717488396532098,0.05044666316342594,0.019472188020063293,0.02137876569468547
8/13/1999,1555.0,27.2979,128057.3146,9.7866,18.5607,21.616,5.3841,0.5889444281093794,0.6756836224639811,0.8721755971594576,1.814793048442616,-0.016963026968029538,-0.051763467274960506,-0.016963026968029538,0.05044666316342594,0.01953423439985995,0.020965305053956197
