,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/23/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.2026,10.6268,0.314651033506848,0.10135442462222688,1.0,1.6271854377130706,0.008060453400503764,0.1936675461741424,0.32223549444684485,0.07790160981650351,0.02688941012485529,0.024065468418510046
6/24/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.0919,10.6268,0.26856673061112635,0.044495378559505694,0.9787221773728519,1.5925624745879337,-0.021277822627148057,0.21452593917710194,0.27163977823285546,0.07790160981650351,0.025645220184332906,0.024227353857621415
6/25/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.1472,10.6268,0.30272582318847907,0.057578902077902505,0.9893514781071002,1.6098583179557753,0.010860386103419106,0.23180012444359344,0.2874759248605516,0.07790160981650351,0.025474131996953246,0.024230975122022925
6/28/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.2026,10.6268,0.3445495425647387,0.07634258541375916,1.0,1.6271854377130706,0.010763133354056764,0.24918363426815238,0.3286513267104221,0.07790160981650351,0.025283360607204014,0.02403308689405896
6/29/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.2856,10.6268,0.3659998966247995,0.07634258541375916,1.0,1.6531448409595597,0.01595356168069806,0.26911256242796777,0.3498480476032382,0.07790160981650351,0.0251773702797143,0.02406570174912989
6/30/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.59,10.6268,0.45410087662253207,0.07257498114090999,1.0,1.7483501704563227,0.05759043438777067,0.35571023209565134,0.42758638302219265,0.07790160981650351,0.0265481061826339,0.024948189900189533
7/1/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.4101,10.6268,0.4165532048596565,0.10860913280268125,0.9678175313059034,1.6920839458292936,-0.03218246869409658,0.27777515351913085,0.3344762092696283,0.07790160981650351,0.028290628694950297,0.02511579680411144
7/2/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.3409,10.6268,0.38476496668308746,0.13365656356140931,0.9554382826475851,1.6704406843274016,-0.012790891111069902,0.22150306467843772,0.3402845742678613,0.07790160981650351,0.028377605508301776,0.025061169590257556
7/5/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.3409,10.6268,0.33269288352130966,0.10826928835213079,0.9554382826475851,1.6704406843274016,0.0,0.20249915569064525,0.3785813845439059,0.07790160981650351,0.028424104241439683,0.024717766897150602
7/6/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.1610000000000005,10.6268,0.3020662512299117,0.20783611272296088,0.9232558139534884,1.6141744597003724,-0.03368346158887081,0.07801566579634489,0.39178037862035486,0.05759043438777067,0.02518337674734995,0.024454783390157372
7/7/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.2026,10.6268,0.35774309723889575,0.213294013257477,0.9306976744186047,1.6271854377130706,0.008060453400503764,0.11905530102600514,0.41355794049721517,0.05759043438777067,0.024042785300748586,0.02439961682566707
7/8/1999,130.3,43.7592,12155.7302,10.3719,31.4938,5.2579,10.6268,0.36771323778061027,0.22734958249876436,0.9405903398926655,1.6444812810809122,0.01062930073424817,0.11436322404255761,0.4232080987440452,0.05759043438777067,0.02397885528402597,0.024405732996316255
