,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/28/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.5802,13.8801,-0.20091075724596175,-0.08527609119028534,0.7407377908751809,1.1925033123904774,0.05262959329963035,-0.1264148284985206,-0.14839910875072493,0.05262959329963035,0.024571486053407324,0.0255771335082518
6/29/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.6499,13.8801,-0.18894359828311402,-0.08303067713641787,0.7499900442037354,1.2073983844082574,0.012490591735063283,-0.11550323277549035,-0.17070557325074498,0.05262959329963035,0.024876435429311707,0.02508204520115586
6/30/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.9638,13.8801,-0.12998191048608276,-0.06814203186088585,0.7916583701697796,1.274479634141129,0.05555850546027363,-0.06636191430405303,-0.12463121431402191,0.05555850546027363,0.028223166455276658,0.026131735956630413
7/1/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.9725,13.8801,-0.1319671535498873,-0.06657946370176582,0.7928132425364715,1.2763388468607086,0.0014588014353265066,-0.07005169407075229,-0.14194382587457788,0.05555850546027363,0.028177907244545806,0.025962853308170095
7/2/1999,54.043,53.0734,35360.5413,19.6746,22.7563,6.0248,13.8801,-0.0962709627096271,-0.049650496504965,0.7997557511316422,1.2875154934393298,0.008756802009208808,-0.049056127280762696,-0.11455991064473936,0.05555850546027363,0.02818437892122257,0.025865894660392998
7/5/1999,54.043,53.0734,35360.5413,19.6746,22.7563,6.0248,13.8801,-0.0951036347251426,-0.06236106939020725,0.7997557511316422,1.2875154934393298,0.0,-0.0349202281027744,-0.10657670349225179,0.05555850546027363,0.028036924767379463,0.025849521438188344
7/6/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.8417,13.8801,-0.1134970256161223,-0.06850188175306537,0.7754503338510348,1.2483865452835834,-0.030391050325321967,-0.04830406308038182,-0.12357847991118309,0.05555850546027363,0.028565309010960938,0.02607595443352156
7/7/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.772,13.8801,-0.12064473864623171,-0.04625298983835835,0.7661980805224803,1.2334914732658033,-0.01193145830836917,-0.07799945689503696,-0.13403546673868028,0.05555850546027363,0.028189495608590208,0.026106292906818047
7/8/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.2924,13.8801,-0.20510663863021927,-0.0518774406728747,0.7025340820092124,1.130999700816344,-0.08309078309078322,-0.1616132813737604,-0.20804465261047178,0.05555850546027363,0.03293372009522322,0.02802720332647455
7/9/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.5017,13.8801,-0.1747367473674737,-0.03348033480334811,0.730317390784915,1.1757276573919733,0.03954727533822089,-0.14614954837508154,-0.17242779783393503,0.05555850546027363,0.033989236514264005,0.02854076941932904
7/12/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.3971,13.8801,-0.17776017306784075,-0.08743277624582946,0.7164323735945735,1.153374364234731,-0.019012305287456566,-0.09898163606010024,-0.16190195195428358,0.05555850546027363,0.030904996434628466,0.028382467254689746
7/13/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.3012,13.8801,-0.18061115662240912,-0.0862791164969009,0.7037022287709238,1.132880283797068,-0.01776880176391027,-0.10323944853252143,-0.20362942599185785,0.05555850546027363,0.030986628283803747,0.028065586260907053
7/14/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.432,13.8801,-0.17244321211474878,-0.10868538521305926,0.7210651374563605,1.1608325853741932,0.02467365879423533,-0.07153234766259287,-0.21665897554222424,0.05555850546027363,0.031604883193069394,0.027705278488508556
7/15/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.5104,13.8801,-0.17448427738910277,-0.15228236281104401,0.7314722631516068,1.1775868701115526,0.014432989690721598,-0.026190223730251372,-0.24772696245733794,0.05555850546027363,0.03105762695478732,0.02673206074059247
7/16/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.5017,13.8801,-0.17154301374813663,-0.14922676143293834,0.730317390784915,1.1757276573919733,-0.0015788327526132795,-0.02623055275314612,-0.22409635155908447,0.05555850546027363,0.03105767742465319,0.026494888940921626
7/19/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.3535,13.8801,-0.20309918278033312,-0.18493874573899582,0.7106447373660946,1.1440569303756891,-0.026937128523910614,-0.022281070221897514,-0.22894672408578298,0.05555850546027363,0.03087874295133636,0.026569892423338196
7/20/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.2053,13.8801,-0.19223786098912177,-0.13947642029142926,0.6909720839472742,1.112386203359405,-0.027682824320538035,-0.06131318413791853,-0.27564325572981163,0.05555850546027363,0.03126203539607256,0.026266652434466162
7/21/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.1617,13.8801,-0.20532992579363862,-0.16237645102688059,0.6851844477187952,1.1030687695003631,-0.008376078227960049,-0.051280166155090345,-0.28516230888544203,0.05555850546027363,0.031071422898105033,0.026241548034877018
7/22/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.2053,13.8801,-0.18355919442875968,-0.1507465963987703,0.6909720839472742,1.112386203359405,0.008446829532905875,-0.038636993258841956,-0.28853382174049724,0.05555850546027363,0.031146872131151207,0.02619495919588104
7/23/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.3012,13.8801,-0.15606145029053575,-0.16023242856005726,0.7037022287709238,1.132880283797068,0.018423529863792476,0.004966824644549561,-0.2505336971427764,0.05555850546027363,0.030910885295830533,0.02610719000570466
7/26/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.4232,13.8801,-0.09469994157415917,-0.11506552040731166,0.7198969906946491,1.1589520023934692,0.02301365728514293,0.02301365728514293,-0.26312213813063035,0.05555850546027363,0.031284169542549596,0.025714242959245476
7/27/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.4494,13.8801,-0.1229035892483501,-0.10185095766940278,0.7233748821897442,1.164551010813352,0.004831096031863158,-0.02344002007096513,-0.24259187190748877,0.05555850546027363,0.029040786171947528,0.025637303503370762
7/28/1999,54.043,53.0734,35360.5413,19.6746,22.7563,5.4755,13.8801,-0.1199209206634948,-0.09188954609746691,0.72683949928982,1.1701286489720903,0.004789518112085833,-0.030867802969963942,-0.23434572251587094,0.05555850546027363,0.028913962697909665,0.025660217432529712
