,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.1839,4.42,-0.3333263536999037,-0.33937769588341227,0.6747123270253661,1.2396433577324404,0.034371852766316824,0.009160063391442153,-0.11170939932483326,0.034371852766316824,0.017388424254881546,0.026974398120706518
6/28/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.1358,4.42,-0.3354807264404839,-0.3456737799063341,0.6823186387571262,1.2209157452110264,-0.015107258393793677,0.015577938271205127,-0.17788322890176433,0.034371852766316824,0.017045992230990077,0.025678655162078023
6/29/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.1358,4.42,-0.3176813612428738,-0.3281474389660124,0.683731984388287,1.2209157452110264,0.0,0.015577938271205127,-0.1251290349580112,0.034371852766316824,0.017045992230990077,0.024601192253553283
6/30/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.2993,4.42,-0.28061836338660784,-0.3288489632165361,0.7330148855809819,1.2845740538856876,0.052139804834491876,0.07186251258893472,-0.07951343358535834,0.052139804834491876,0.020344850526101927,0.025523151790117767
7/1/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.2416,4.42,-0.27980448789157975,-0.31828482559431237,0.7263113082834801,1.262108705809064,-0.01748855817900774,0.056446356407248155,-0.08828575446491349,0.052139804834491876,0.02081453379188833,0.025592919868009385
7/2/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.3089,4.42,-0.2586094866796621,-0.29954515919428204,0.7525700509461427,1.288311789440897,0.02076135241855881,0.05844155844155852,-0.08900941578106936,0.052139804834491876,0.02089264586861476,0.02558151374643622
7/5/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.3089,4.42,-0.2474299490538573,-0.28024927219796214,0.7607716006805536,1.288311789440897,0.0,0.045598179864753785,-0.02467134351235034,0.052139804834491876,0.020788910622789786,0.02419862033233493
7/6/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.3569999999999998,4.42,-0.22816940267623131,-0.27240538924909186,0.808837702390131,1.307039401962311,0.014536552932998825,0.06079757315300505,-0.04030874785591776,0.052139804834491876,0.02094888010115968,0.023943395168551665
7/7/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.3474,4.42,-0.1934753276792599,-0.2537345797995374,0.8120815138282387,1.3033016664071018,-0.002859696157283209,0.08074774803861429,-0.021599976617075356,0.052139804834491876,0.02025545152538292,0.02378651466805321
7/8/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.4532,4.42,-0.14050327301690013,-0.24344774373397704,0.8377486656962639,1.3444946270051392,0.0316066200633327,0.13607053559678906,-0.001878775616383055,0.052139804834491876,0.020427688155929217,0.024079394654121726
7/9/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.3955,4.42,-0.16666666666666663,-0.27291022431649736,0.8237506065016983,1.322029278928516,-0.016709139349009527,0.14612164990211296,-0.0651671163482187,0.052139804834491876,0.019838422320409513,0.02331604919330226
7/12/1999,1222.0,4.3288,39213.2294,2.3559,17.529,3.3763,4.42,-0.18090732654051422,-0.2836001940805434,0.8423271711199262,1.314553807818097,-0.005654542777205118,0.14334575008465955,-0.055501160936582083,0.052139804834491876,0.019905788938894706,0.023245390816262892
