,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.554,5.8705,0.2991830255159331,0.29569830022844323,0.9258830022075055,1.4831808336648544,-0.0079824976348154,0.0026894573272771005,0.13523023310890836,0.09953839152200783,0.02687225495484974,0.02372196900178635
6/28/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.959,5.8705,0.3059144746962006,0.25223042608829416,0.9370584988962473,1.5010829686602132,0.012070095964713534,0.04287074286767201,0.14544473302526417,0.09953839152200783,0.02622495320446417,0.023753848644617864
6/29/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.59,5.8705,0.33774219747070444,0.2593494991685039,0.9544701986754968,1.5289749370110066,0.0185812303071351,0.06224856432146919,0.14936035886359877,0.09953839152200783,0.026455379923827325,0.02378772613294617
6/30/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.77,5.8705,0.3052291752693421,0.2257592251961409,0.9594370860927153,1.5369314414533881,0.005203816131829964,0.06483324656233735,0.15534141884033903,0.09953839152200783,0.026458725943727057,0.02378799097457684
7/1/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,35.760999999999996,5.8705,0.3402166173218899,0.23217029569388736,0.9867825607064016,1.5807364186889445,0.02850158182341067,0.08768781556055716,0.2458108343494163,0.09953839152200783,0.02701903628646636,0.02317213749675905
7/2/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,36.346,5.8705,0.32688376168224287,0.2085280373831775,1.0,1.606595058126685,0.016358602947344814,0.09793378443692591,0.21860122041172114,0.09953839152200783,0.027142408267096626,0.022787758793173973
7/5/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,36.346,5.8705,0.2760146046903522,0.15745681786265964,1.0,1.606595058126685,0.0,0.10242955503654927,0.2701729861960509,0.09953839152200783,0.027090273902717347,0.022086784322582802
7/6/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.77,5.8705,0.2504945153749327,0.18244919978421148,0.9566389699004019,1.5369314414533881,-0.04336103009959813,0.05754607944522183,0.20004141644232765,0.09953839152200783,0.02904911332478828,0.02284939466024599
7/7/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.815,5.8705,0.24352609208129428,0.1904489766760724,0.9578770703791339,1.5389205675639834,0.0012942191544433879,0.04458579615349989,0.1997312105861675,0.09953839152200783,0.028947500405260167,0.022849709869522346
7/8/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.77,5.8705,0.22257383966244726,0.15446554149085778,0.9566389699004019,1.5369314414533881,-0.0012925463162428708,0.058995522797185895,0.1657614162140415,0.09953839152200783,0.028691052439416744,0.02263624459230613
7/9/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.59,5.8705,0.22195923269862594,0.1598897799130956,0.9516865679854731,1.5289749370110066,-0.0051768766177738845,0.05351323363688998,0.1756109166298474,0.09953839152200783,0.02874133697536673,0.022564300649777998
7/12/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.509,5.8705,0.20705306004826918,0.16649256150715042,0.9219446431519288,1.4811917075542589,-0.03125180688060136,0.034771330636445,0.10846840886536557,0.09953839152200783,0.02949242482218049,0.02274241477173933
7/13/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.32,5.8705,0.2428928403288304,0.16296671857458422,0.9442579651130799,1.517040180347434,0.024202453072308838,0.06872606109675217,0.1009880662132685,0.09953839152200783,0.029773881745789835,0.02261447434909913
7/14/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.914,5.8705,0.23413391557496355,0.13744541484716155,0.9330875474605185,1.4990938425496176,-0.011829836829836848,0.085004958889209,0.0329871158356434,0.09953839152200783,0.029191130845556718,0.021693961374041858
7/15/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,34.05,5.8705,0.24912872812649023,0.1764187974613891,0.9368293622406867,1.5051054236838615,0.004010143303650349,0.061806161905949564,0.025911419102139233,0.09953839152200783,0.028766716718967,0.02165900142764091
7/16/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.509,5.8705,0.23800199504932218,0.17142646026526775,0.9219446431519288,1.4811917075542589,-0.01588839941262843,0.0568328760210679,0.01232591160387897,0.09953839152200783,0.028900867718697,0.021755293224241846
7/19/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.149,5.8705,0.20955265270378765,0.17175071152302412,0.9120398393220713,1.4652786986694957,-0.01074338237488437,0.0322610780680721,0.004180424706915931,0.09953839152200783,0.028959084268585136,0.02179743389768383
7/20/1999,127.06299999999999,28.239,18777.1478,15.7392,31.6479,33.059,5.8705,0.21737369273825302,0.14107379584622182,0.9095636383646069,1.4613004464483046,-0.002715014027572571,0.06686675057282088,-0.005295622085151219,0.09953839152200783,0.027728772682444294,0.021784668867970047
