,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,200.1,27963.3655,14.5896,25.6214,6.8643,3.2719,-0.06596726129730168,-0.04008654120912769,0.8391051891693662,1.0874655429168911,-0.0045968677494199195,-0.02696151392728041,0.051033532384014535,0.02074097760206972,0.009035983407718542,0.011024225894220386
6/28/1999,200.1,27963.3655,14.5896,25.6214,6.7374,3.2719,-0.073782323586423,-0.032375139192477476,0.8235926899333781,1.0673616171857674,-0.018486954241510478,-0.042792600801295655,0.031603123564538205,0.02074097760206972,0.00978813262266599,0.01129005603175708
6/29/1999,200.1,27963.3655,14.5896,25.6214,6.6582,3.2719,-0.07707022261650631,-0.024340883258018975,0.8139111301265204,1.054814486233009,-0.011755276516163482,-0.05404483846219421,0.02191730361911781,0.02074097760206972,0.00999978943291399,0.011390692390625562
6/30/1999,200.1,27963.3655,14.5896,25.6214,6.357,3.2719,-0.11514156064697523,-0.035703349015896,0.77709186480044,1.0070973670035803,-0.045237451563485576,-0.08237943328954767,-0.0243116309052398,0.02074097760206972,0.01342332831781363,0.012760333702156942
7/1/1999,200.1,27963.3655,14.5896,25.6214,6.5155,3.2719,-0.08927622934779567,-0.03165972435772002,0.796467208605831,1.0322074712461584,0.024933144565046472,-0.059500267043896216,-0.004750557541319034,0.024933144565046472,0.014824246889609212,0.013136997255381607
7/2/1999,200.1,27963.3655,14.5896,25.6214,6.5314,3.2719,-0.08127496764755537,-0.023307826478366045,0.7984108550822077,1.0347264028389467,0.0024403345867545223,-0.05935047166414642,0.004877148176069657,0.024933144565046472,0.014827029196673858,0.01310810272668934
7/5/1999,200.1,27963.3655,14.5896,25.6214,6.5314,3.2719,-0.08320934280340253,-0.016465006597232046,0.7984108550822077,1.0347264028389467,0.0,-0.06786167920192954,0.029620871758492928,0.024933144565046472,0.014591563051846128,0.012737104728289029
7/6/1999,200.1,27963.3655,14.5896,25.6214,6.5155,3.2719,-0.07373972875380286,-0.01514031446362063,0.796467208605831,1.0322074712461584,-0.0024343938512415564,-0.059500267043896216,-0.0023732965855153276,0.024933144565046472,0.01447434961891825,0.012187573862681631
7/7/1999,200.1,27963.3655,14.5896,25.6214,6.4997,3.2719,-0.08380085139973503,-0.030179583321586656,0.7945357863211294,1.0297043819904312,-0.002424986570485843,-0.05528989404223772,0.00970919033119988,0.024933144565046472,0.014444559371485149,0.012052159704890849
7/8/1999,200.1,27963.3655,14.5896,25.6214,6.5155,3.2719,-0.06977242226092917,-0.010922018217640828,0.796467208605831,1.0322074712461584,0.0024308814252966826,-0.059500267043896216,0.012163673646927275,0.024933144565046472,0.014329366998393213,0.012055317950454746
