,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
12/22/2016,1649.0,25256.8224,4.0018,27.3585,117.4273,2.727,-0.011951430275890962,0.0018014652366011852,0.9252844942927789,1.1606091484947711,-0.0011381315758358657,-0.013728164701020784,-0.036647294707550127,0.027000167071715042,0.012747893934230491,0.013097910795906718
12/23/2016,1649.0,25256.8224,4.0018,27.3585,118.9949,2.727,0.050140627799208026,0.050731026278468594,0.9376366132059564,1.176102742413565,0.013349536266268558,-0.000561893067297814,-0.030602502293252898,0.027000167071715042,0.013106125175961858,0.0131805000102022
12/26/2016,1649.0,25256.8224,4.0018,27.3585,118.9949,2.727,0.09609276842528014,0.10322412465411723,0.9376366132059564,1.176102742413565,0.0,-0.006464104681424443,-0.0273458317939127,0.027000167071715042,0.013036658951788564,0.013175199157612049
12/27/2016,1649.0,25256.8224,4.0018,27.3585,118.7942,2.727,0.07857454149264576,0.079355365897948,0.9360551700662048,1.1741190958841559,-0.0016866269058589678,-0.0007234173562964408,-0.04245253742315269,0.027000167071715042,0.012938125518912737,0.013046013502630337
12/28/2016,1649.0,25256.8224,4.0018,27.3585,117.4316,2.727,0.0815045260849665,0.09493312408997112,0.9253183767317472,1.1606516481463727,-0.011470256965407377,-0.012264308850976957,-0.07468162326825278,0.027000167071715042,0.013179811198034755,0.012761001096893062
12/29/2016,1649.0,25256.8224,4.0018,27.3585,117.2301,2.727,0.07423022576867444,0.08935080739012591,0.9237306298824199,1.1586600947050374,-0.0017158924854979718,-0.013880360228196165,-0.07165431961893753,0.027000167071715042,0.013182007542117798,0.01275186820471671
12/30/2016,1649.0,25256.8224,4.0018,27.3585,117.3356,2.727,0.10092090880516436,0.08895613133857827,0.9245619315826881,1.1597028187152651,0.0008999395206521488,0.010987382431906223,-0.06700571872038064,0.027000167071715042,0.012069245177223497,0.012748498069425658
1/2/2017,1649.0,25256.8224,4.0018,27.3585,117.3356,2.727,0.0861943355442516,0.06129350286277657,0.9245619315826881,1.1597028187152651,0.0,0.023462720363694345,-0.06976323817617924,0.027000167071715042,0.01171176519702896,0.01273902330172876
1/3/2017,1649.0,25256.8224,4.0018,27.3585,118.2568,2.727,0.11272032006865063,0.09259370777551545,0.9318206531588676,1.168807627797935,0.00785098469688661,0.018420948381729474,-0.0633822115422693,0.027000167071715042,0.011512077907606224,0.012786143019031885
1/4/2017,1649.0,25256.8224,4.0018,27.3585,119.7154,2.727,0.1264448066000987,0.12209392042695888,0.9433138916423842,1.1832239049668256,0.012334174440708834,0.0038774705877422377,-0.044378403016086976,0.026812601793375856,0.01022444292547479,0.012863778017928857
1/5/2017,1649.0,25256.8224,4.0018,27.3585,120.8668,2.727,0.15943046638406777,0.14385779118187902,0.9523865056489117,1.194603927956172,0.009617810239952451,0.013614170679467463,-0.03489312637589459,0.026812601793375856,0.010426564038038964,0.012928508957288
1/6/2017,1649.0,25256.8224,4.0018,27.3585,121.6537,2.727,0.17851001727266302,0.13895629715955282,0.9585869919801054,1.2023813641992818,0.0065104726856342054,0.03472804023451426,-0.011328939915171143,0.026812601793375856,0.009927772416717006,0.01277212062749171
1/9/2017,1649.0,25256.8224,4.0018,27.3585,120.9148,2.727,0.1638979745456155,0.12977558481361617,0.9527647282234413,1.1950783426717257,-0.00607379800203367,0.030202803274093304,-0.02610978885519477,0.026812601793375856,0.010047124703030182,0.012739917461696422
