,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,939.0,38.4674,47901.0739,12.276,26.1345,33.7085,7.4029,0.06340994053346383,0.013751439342555738,0.9271376548507053,1.4210344376947106,-0.010145651024842883,0.04898488846843252,0.3026734785364271,0.02628500325957872,0.015368008845931858,0.025159808444431133
6/28/1999,939.0,38.4674,47901.0739,12.276,26.1345,34.1308,7.4029,0.04633118226827504,-0.00427964867640529,0.9387528329702731,1.4388371534203725,0.012527997389382595,0.05082835846169487,0.2521112602995017,0.02628500325957872,0.01542111461682322,0.024393779213244968
6/29/1999,939.0,38.4674,47901.0739,12.276,26.1345,34.0924,7.4029,0.06393124410962492,0.013609497000979909,0.9376966576451691,1.4372183414765756,-0.0011250835022912353,0.04964608881184973,0.1746036121083494,0.02628500325957872,0.01543210107324893,0.023118994500219883
6/30/1999,939.0,38.4674,47901.0739,12.276,26.1345,33.0174,7.4029,0.0027606942736095874,0.010924331465536952,0.9081292494554097,1.3919000383624707,-0.03153195433586364,-0.008075418641959708,0.13756606464860854,0.02628500325957872,0.016221771337886107,0.0235189119035512
7/1/1999,939.0,38.4674,47901.0739,12.276,26.1345,33.5933,7.4029,-0.004123631879142886,-0.020057867213717384,0.9239691288753934,1.4161780018633199,0.01744231829277898,0.016260383956824498,0.11892628269182093,0.02628500325957872,0.016588626085960675,0.023241435584491935
7/2/1999,939.0,38.4674,47901.0739,12.276,26.1345,33.9388,7.4029,-0.0029553987438086793,-0.005208669953054468,0.9334719563447533,1.4307430937013883,0.010284788931126165,0.0022650692071668477,0.16931154951317162,0.02628500325957872,0.015859335726424534,0.02281830210910767
7/5/1999,939.0,38.4674,47901.0739,12.276,26.1345,33.9388,7.4029,-0.04288014709822241,-0.03638255690326664,0.9334719563447533,1.4307430937013883,0.0,-0.006742914671692524,0.19298245614035103,0.02628500325957872,0.015729502667785913,0.022637775641652237
7/6/1999,939.0,38.4674,47901.0739,12.276,26.1345,32.9022,7.4029,-0.07009962552109095,-0.028864551685155226,0.9049607234800978,1.38704360253108,-0.030543213077657394,-0.04246068239758782,0.17236538297083892,0.02628500325957872,0.016989204770060492,0.0229387304933969
7/7/1999,939.0,38.4674,47901.0739,12.276,26.1345,20.846999999999998,7.4029,-0.4023856414313849,-0.010578006346803837,0.5733876823552709,1.0,-0.3663949523132193,-0.39599648845274626,-0.2602200141944643,0.02628500325957872,0.08124660838263956,0.05185867492859402
7/8/1999,939.0,38.4674,47901.0739,12.276,26.1345,20.846999999999998,7.4029,-0.3875626479902702,0.025241337978930245,0.5733876823552709,1.0,0.0,-0.40264079361349747,-0.27888506852442474,0.02628500325957872,0.08107247488756265,0.05172776123368486
7/9/1999,939.0,38.4674,47901.0739,12.276,26.1345,20.0024,7.4029,-0.41697563250553804,-0.014116241109945138,0.5501573261161353,1.0,-0.040514222669928324,-0.40862767822562285,-0.2843403841199874,0.02628500325957872,0.08116414488958561,0.05180363397097146
7/12/1999,939.0,38.4674,47901.0739,12.276,26.1345,20.7703,7.4029,-0.381447873515809,0.0004288407303396635,0.5712780821616388,1.0383903931528216,0.038390393152821556,-0.3817130201558049,-0.2974010642004459,0.038390393152821556,0.08214098470346085,0.05149128268460072
7/13/1999,939.0,38.4674,47901.0739,12.276,26.1345,21.1926,7.4029,-0.36157444924100246,0.038596057851912,0.5828932602812067,1.059502859656841,0.020331916245793336,-0.3852994665900924,-0.30913595540414995,0.038390393152821556,0.08198909949223143,0.051311478964303284
7/14/1999,939.0,38.4674,47901.0739,12.276,26.1345,22.4211,7.4029,-0.32300171505869857,0.046798758394125395,0.6166826193148063,1.120920489541255,0.05796834744203161,-0.3532679710282881,-0.2700015302517752,0.05796834744203161,0.08354743728481762,0.05190286079552377
7/15/1999,939.0,38.4674,47901.0739,12.276,26.1345,22.1524,7.4029,-0.3232726228516616,0.056725910809968694,0.6092921424956543,1.1074871015478143,-0.011984246981637803,-0.3595999017099577,-0.3098080757726819,0.05796834744203161,0.08349277613948777,0.05154281385996713
7/16/1999,939.0,38.4674,47901.0739,12.276,26.1345,22.2676,7.4029,-0.31895449624115335,0.06970840648148724,0.6124606684709663,1.1132464104307482,0.0052003394666040315,-0.36333537286206874,-0.26951957616415434,0.05796834744203161,0.08340454310631829,0.05121644356168349
7/19/1999,939.0,38.4674,47901.0739,12.276,26.1345,22.0372,7.4029,-0.3414615196122377,0.04976123452805714,0.6061236165203424,1.10172779266488,-0.010346871688013182,-0.372677844515927,-0.29484119111463813,0.05796834744203161,0.08327780609074785,0.051092843320417816
7/20/1999,939.0,38.4674,47901.0739,12.276,26.1345,21.3845,7.4029,-0.3682103552699608,0.01290789570869344,0.5881713864501508,1.0690967083949925,-0.02961810030312373,-0.3762615066910898,-0.3305293277900221,0.05796834744203161,0.08330804815582621,0.05108389400346811
7/21/1999,939.0,38.4674,47901.0739,12.276,26.1345,20.9622,7.4029,-0.3841783345182348,-0.00859298342508985,0.5765562083305829,1.047984241890973,-0.019747948280296468,-0.37884072314790396,-0.3568910664486381,0.05796834744203161,0.08330728799792689,0.051015671769691226
7/22/1999,939.0,38.4674,47901.0739,12.276,26.1345,21.1158,7.4029,-0.3616747279322853,0.010873639661426848,0.5807809096309988,1.0556633204015518,0.007327475169591091,-0.3685409857145848,-0.34988100332821226,0.05796834744203161,0.08347320753555647,0.05104025447902599
7/23/1999,939.0,38.4674,47901.0739,12.276,26.1345,20.8087,7.4029,-0.3767424446640908,0.019977835684547918,0.5723342574867428,1.0403101627804663,-0.014543611892516406,-0.38894990309508426,-0.36084738318072773,0.05796834744203161,0.08307726171647677,0.05104441053738468
