,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/10/2016,75.2,23.1899,10400.8855,6.9249,10.3933,34.3847,3.6131,-0.29438623276735987,-0.3062700337778217,0.6888926732514575,1.4578498170517133,-0.03225652110281774,0.017130297938803052,0.1790400949138129,0.03234412948288412,0.017102275359514172,0.018681128304306502
6/13/2016,75.2,23.1899,10400.8855,6.9249,10.3933,33.4766,3.6131,-0.2958195028165874,-0.2880617924349703,0.6706990162883416,1.4193480002883079,-0.026410002123037457,-0.010896606333504755,0.11859366333193,0.03234412948288412,0.01811353052489597,0.01879330158453545
6/14/2016,75.2,23.1899,10400.8855,6.9249,10.3933,33.3619,3.6131,-0.29823221805729094,-0.2650347708656746,0.6684010177709213,1.4144849253155487,-0.003426273874885699,-0.04516873162927415,0.07513946046283793,0.02432145769341587,0.016493339436087672,0.018264638835002827
6/15/2016,75.2,23.1899,10400.8855,6.9249,10.3933,33.8292,3.6131,-0.2884025595395858,-0.2958195028165874,0.6777633081561917,1.434297610012762,0.014006996004424233,0.010532730325062856,0.08909335582612732,0.02432145769341587,0.01407966099640107,0.018334404183772888
6/16/2016,75.2,23.1899,10400.8855,6.9249,10.3933,34.3318,3.6131,-0.265972231130724,-0.29500254426812733,0.6878328291226734,1.4556069516109202,0.014856987454624937,0.04117789773761138,0.08653532716195911,0.02432145769341587,0.013932145297000667,0.018303798444092325
6/17/2016,75.2,23.1899,10400.8855,6.9249,10.3933,35.0283,3.6131,-0.2690834199291374,-0.31930689970327897,0.7017871095706529,1.4851373066111535,0.020287313802364038,0.07378285420000363,0.10637229355190225,0.02432145769341587,0.014157478420391171,0.018456489551780277
6/20/2016,75.2,23.1899,10400.8855,6.9249,10.3933,35.9276,3.6131,-0.2801955402400177,-0.33053913810029456,0.7198044597599823,1.5232660191046345,0.025673526834016913,0.07520021068508553,0.16343594360213198,0.025673526834016913,0.014259648978701696,0.018383667955116655
6/21/2016,75.2,23.1899,10400.8855,6.9249,10.3933,36.0598,3.6131,-0.27754693166109035,-0.3278885260353015,0.7361321207296037,1.5288710627959927,0.00367962235161845,0.07490066205424628,0.18802219235128237,0.025673526834016913,0.014259384022694482,0.018210759406917562
6/22/2016,75.2,23.1899,10400.8855,6.9249,10.3933,35.6719,3.6131,-0.27141619996486965,-0.3032887668860267,0.7282134509191496,1.5124247961705937,-0.01075713120982369,0.045747169567945,0.17524248174797719,0.025673526834016913,0.014245261884047695,0.018288674729760142
6/23/2016,75.2,23.1899,10400.8855,6.9249,10.3933,36.5976,3.6131,-0.23719402387780963,-0.27596836857200036,0.7471108797501301,1.5516728214738467,0.025950397932265945,0.05355338497810713,0.207933275463154,0.025950397932265945,0.014762539885145575,0.018510543280080536
6/24/2016,75.2,23.1899,10400.8855,6.9249,10.3933,34.0232,3.6131,-0.25807330906997483,-0.24403864982914614,0.6945565524491942,1.4425228632360863,-0.0703434104968631,-0.018565313210333834,0.10855087385473561,0.025950397932265945,0.021719295974248577,0.02065124578669888
