,free_cash_flow_equity,gross_margin,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
9/12/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.288,7.1354,0.30122107535586595,0.2975106253794779,0.8721682116210717,1.5529790660225442,-0.01877193874955485,0.00285966827847961,-0.07712918660287071,0.02679628898539277,0.018419823075349527,0.01780918365906791
9/15/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.518,7.1354,0.292668388635009,0.2908801907411087,0.8825683924937826,1.5714975845410628,0.011924512650352659,0.0013852547329538112,-0.066928004589349,0.02679628898539277,0.018369579738087796,0.017883386453610983
9/16/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.362000000000002,7.1354,0.30621331714227895,0.3478378196046683,0.8755143567714223,1.558937198067633,-0.007992622194896937,-0.030882426547875097,-0.09548724656638308,0.02679628898539277,0.017534187870482696,0.017631396333833954
9/17/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.04,7.1354,0.19884145573605339,0.26256139025311676,0.860954103549627,1.5330112721417068,-0.016630513376717393,-0.0504687811689607,-0.11280928195331064,0.02679628898539277,0.017801717521648226,0.017726694389469805
9/18/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.892,7.1354,0.22286232118583715,0.3081105573176255,0.8542618132489261,1.5210950080515298,-0.007773109243697451,-0.06516898411598793,-0.11933619242961024,0.02679628898539277,0.017682529106493764,0.017742046108388095
9/19/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.104,7.1354,0.3216188170183327,0.4076098235904533,0.8638480669229031,1.5381642512077294,0.011221681134871986,-0.06109008699071128,-0.12226050999310822,0.02679628898539277,0.01783065457596118,0.017696683637609865
9/22/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.69,7.1354,0.26087836470350134,0.34284557781825553,0.8451277413520236,1.5048309178743962,-0.02167085427135662,-0.061039939713639746,-0.15487225864797638,0.02679628898539277,0.017827891993927696,0.017716721154743133
9/23/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.644000000000002,7.1354,0.2914934885009699,0.3584788029925188,0.8430477051774815,1.5011272141706926,-0.002461209202782255,-0.049309061241140095,-0.154850407978241,0.02679628898539277,0.01761721885123893,0.017716722037900423
9/24/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.598,7.1354,0.3467052860246198,0.4320057929036929,0.8409676690029392,1.4974235104669886,-0.002467281699206292,-0.059567152103559895,-0.1491055497094752,0.02679628898539277,0.01744690936404222,0.017696006422592846
9/25/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.23,7.1354,0.41033575738821004,0.5185672288410959,0.824327379606602,1.4677938808373592,-0.019787073878911654,-0.071272097406898,-0.16628555748650875,0.02679628898539277,0.01781622497002904,0.017826655392243644
9/26/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.156,7.1354,0.40853374709076795,0.5270752521334368,0.8209812344562514,1.4618357487922704,-0.004059243006034108,-0.0776264986791304,-0.16084303937881317,0.02679628898539277,0.017760350775131342,0.017799663955615257
9/29/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.090999999999998,7.1354,0.45660225442834124,0.61231884057971,0.8180420529052679,1.4448526475521124,-0.0035800837188808554,-0.09657927590511861,-0.1363028740570993,0.02679628898539277,0.017097169188713117,0.01740174335065652
9/30/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.045,7.1354,0.44117881958310057,0.5993131539014456,0.8159620167307259,1.3850936444580906,-0.002542700790448049,-0.09887640449438184,-0.1335350043215211,0.02679628898539277,0.017071318552444266,0.01739587173198908
10/1/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.607,7.1354,0.4262609228882417,0.5532730338801166,0.8413746326023062,1.4282315013816396,0.03114436131892484,-0.08177062771417287,-0.10654950542591002,0.03114436131892484,0.018470488547735326,0.017892605861124487
10/2/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.141,7.1354,0.39065678581807584,0.5116971810520194,0.8655211394980782,1.4692201412342647,0.028698876766808157,-0.08006920747825252,-0.05499876573685514,0.03114436131892484,0.018632494062179344,0.017984618180262042
10/3/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.242,7.1354,0.47697267424009837,0.5851243475591037,0.8700881754465296,1.4523360253604045,0.005276631314978353,-0.06822914144593473,-0.05856450902686039,0.03114436131892484,0.018714097486845174,0.01795745674839985
10/6/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.565,7.1354,0.4767152237904748,0.533625179258812,0.8846936468460322,1.4555125725338491,0.01678619686103322,-0.03710812539987207,-0.07362689393939392,0.03114436131892484,0.01895526007918366,0.0175674150127179
10/7/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.43,7.1354,0.5034218853484436,0.5006990948561336,0.9238073705629664,1.5198631156077964,0.04421160235113719,0.0018143480606089835,0.010485705806706935,0.04421160235113719,0.021425556688924943,0.017656750465467216
10/8/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.209,7.1354,0.4861744374172674,0.4794087365789088,0.9138141532896225,1.5034221098050884,-0.010817425354870291,0.004573246507928452,-0.006782326632918889,0.04421160235113719,0.021345875995234756,0.017694432399287918
10/9/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.180999999999997,7.1354,0.4516616314199393,0.3774996403395192,0.9125480443138141,1.5013390864454692,-0.0013855213023901136,0.05383812010443867,0.006885196826822204,0.04421160235113719,0.018248192222354923,0.017591367905157626
10/10/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.576999999999998,7.1354,0.4569850598314804,0.3918430928273031,0.9304544426859598,1.5307989882457966,0.019622417125018554,0.046802665717047276,0.061764705882352944,0.04421160235113719,0.01785807200577012,0.017229699864623457
10/13/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.412,7.1354,0.4322200392927307,0.3533539152399663,0.9229934433642324,1.518524029162327,-0.008018661612479883,0.058274574865201156,0.09213483146067403,0.04421160235113719,0.01737022489196449,0.016621742428124343
10/14/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.237000000000002,7.1354,0.4300756130308814,0.3792664829340684,0.9150802622654308,1.5055051331647078,-0.008573388203017673,0.03683779075724969,0.07695173221222928,0.04421160235113719,0.017410256461428825,0.016662510771736375
10/15/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.491,7.1354,0.37921030285876034,0.37008208321539793,0.8813475016956817,1.4500074393691416,-0.03686317141868867,0.006662534862100999,0.035708592380041315,0.04421160235113719,0.01926843300897034,0.01734272288473605
10/16/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.666,7.1354,0.39248035120017,0.3481554910429796,0.8892606827944834,1.463026335366761,0.008978502898773888,0.03287815126050431,0.06799174541110009,0.04421160235113719,0.018938138795686895,0.01713675322811863
10/17/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.178,7.1354,0.3018803882967891,0.2824655488425769,0.8671942120732535,1.4267222139562565,-0.02481440048815209,0.015138683040440526,0.03681678109963782,0.04421160235113719,0.019714077734505505,0.017440667071592753
10/20/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.15,7.1354,0.3081494637611857,0.30500717262108057,0.8659281030974452,1.4246391905966374,-0.0014600062571697991,0.0024078726968173036,0.021115495360989556,0.04421160235113719,0.019575840344534474,0.01736075225430202
10/21/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.224,7.1354,0.3050030547824316,0.2687529699273641,0.8692742482477956,1.430144323761345,0.0038642297650131052,0.02857142857142847,0.04398826979472137,0.04421160235113719,0.01892538866271442,0.017200897318951962
10/22/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.727,7.1354,0.28328650722949367,0.2775988487631058,0.8468008139271989,1.393170659128106,-0.0258531002913025,0.0044518343703066066,0.009432945235015033,0.04421160235113719,0.019837356523821754,0.017502931905807064
10/23/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.846,7.1354,0.3112997495129419,0.2940439743946561,0.8521817770743839,1.4020235084064872,0.006354461472739992,0.013334767179266738,0.010834584853035789,0.04421160235113719,0.019867027567728877,0.01750980469966617
10/24/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.69,7.1354,0.30544108402598313,0.2733114479290355,0.8451277413520236,1.390418092545752,-0.008277618592804736,0.025233132199670827,0.0,0.04421160235113719,0.01942398514717907,0.01754087437144527
10/27/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.69,7.1354,0.3038018835019185,0.266550401116149,0.8451277413520236,1.390418092545752,0.0,0.02941176470588247,0.00048177292436180075,0.04421160235113719,0.01938745693737494,0.017540699007898078
10/28/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.965999999999998,7.1354,0.36426413465688356,0.3013235505682632,0.8576079583992765,1.4109507513762831,0.014767255216693309,0.04836659112265762,0.024358628139346417,0.04421160235113719,0.019556925216807155,0.017597022642988788
10/29/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.15,7.1354,0.37295669630054484,0.2937338686550044,0.8659281030974452,1.4246391905966374,0.009701571232732409,0.06123579939041268,0.034799524478547506,0.04421160235113719,0.019583660784756807,0.017634262813599158
10/30/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.077,7.1354,0.37037569140147997,0.3366137490122836,0.8626271761248023,1.419208451123345,-0.0038120104438640334,0.025259311011984975,0.04280091833388,0.04421160235113719,0.018530578910684884,0.01757550251452864
10/31/2003,6.723,28.7784,4680.2121,15.9089,9.2921,18.828,7.1354,0.4006844219610177,0.4239696473739025,0.8513678498756501,1.4006844219610177,-0.013052366724327857,-0.016352332688992166,0.05959817659969602,0.04421160235113719,0.017669537603413967,0.017259414512282408
11/3/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.242,7.1354,0.4226987060998151,0.4226987060998151,0.8700881754465296,1.4314834102068146,0.02198852772466542,0.0,0.052856204858831246,0.04421160235113719,0.01831375962799849,0.017110486482217115
11/4/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.077,7.1354,0.4192084511233449,0.45551257253384914,0.8626271761248023,1.4095611053642678,-0.00857499220455249,-0.024942499361104042,0.013224984066284362,0.04421160235113719,0.017995952652441624,0.016734975451932775
11/5/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.334,7.1354,0.42855031771833896,0.5095315501699422,0.8742482477956138,1.4189050344928813,0.013471719872097276,-0.053646598139990176,0.026874867219035536,0.02198852772466542,0.015156618839257794,0.016816348190710387
11/6/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.546,7.1354,0.4344635256127991,0.48312050491707037,0.8838345014695909,1.404065799870699,0.01096513913313335,-0.03280716512444948,0.01823296520108353,0.02198852772466542,0.015304451791877382,0.0166944136548604
11/7/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.034000000000002,7.1354,0.42408302530565845,0.4345322718225759,0.9059009721908209,1.4391207528194816,0.024966745114090028,-0.007284079084286965,0.041647168928404366,0.024966745114090028,0.016356352137606143,0.016977816025723746
11/10/2003,6.723,28.7784,4680.2121,15.9089,9.2921,19.979,7.1354,0.4333165937298227,0.4762178061553912,0.9034139724169117,1.4351698872207457,-0.0027453329340123567,-0.029061573601594004,0.04176660757117512,0.024966745114090028,0.01571533984497006,0.0169774257226643
11/11/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.089000000000002,7.1354,0.4335973738671235,0.4566473988439306,0.90838797196473,1.4430716184182173,0.005505781070123783,-0.015824025083284177,0.044506837206883976,0.024966745114090028,0.01570271163618908,0.016985879696856675
11/12/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.485,7.1354,0.4308165118390723,0.41349444716071804,0.9262943703368755,1.4715178507291142,0.019712280352431444,0.012254780846963298,0.05099789646503505,0.024966745114090028,0.01619373522069889,0.01707938994263687
11/13/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.697,7.1354,0.4596939135340996,0.37463854996826296,0.9358806240108524,1.486746641764241,0.010349035879912094,0.061874711405264016,0.035937734621352524,0.024966745114090028,0.01382055847593349,0.01684367635703287
11/14/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.844,7.1354,0.46726735182317336,0.38434464310854577,0.9425276961338459,1.4973062280008622,0.007102478620089947,0.059900335604596844,0.039497307001795434,0.024966745114090028,0.01378568937662835,0.016859026543806194
11/17/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.789,7.1354,0.4633957482753768,0.3499929607208223,0.9400406963599368,1.4933553624021265,-0.0026386490117059624,0.08400250286786948,0.028700084120936387,0.024966745114090028,0.012332153246751715,0.016839751956961486
11/18/2003,6.723,28.7784,4680.2121,15.9089,9.2921,20.725,7.1354,0.48875799152359756,0.37561956755980175,0.9371467329866607,1.4229316855475456,-0.0030785511568618418,0.08224543080939961,0.018577677298864614,0.024966745114090028,0.012372455118409589,0.016826797000961513
