,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
6/25/1999,-373.49300000000005,14903.9622,8.8146,155.4607,34.2527,-0.5176,-0.28536884578953736,-0.25234818675334747,0.6972616570923732,1.0269165849695245,0.0077583924210771205,-0.04416582485475262,-0.05760405432174864,0.025807556215043714,0.015117547650144234,0.017797558672254493
6/28/1999,-373.49300000000005,14903.9622,8.8146,155.4607,34.2527,-0.5176,-0.2875509074949977,-0.23738804511059242,0.6972616570923732,1.0269165849695245,0.0,-0.06577770262161675,-0.05760405432174864,0.025807556215043714,0.013992479656252594,0.017797558672254493
6/29/1999,-373.49300000000005,14903.9622,8.8146,155.4607,34.1397,-0.5176,-0.2904429262939555,-0.23796974275732063,0.6949613839094873,1.0235287768813577,-0.0032990100050507287,-0.06885971132760937,-0.04499260100536817,0.025807556215043714,0.013973955616896912,0.017687490726413572
6/30/1999,-373.49300000000005,14903.9622,8.8146,155.4607,34.0643,-0.5176,-0.3044851573490467,-0.249089880781018,0.6934265113609068,1.0212682394490764,-0.0022085724244792493,-0.07377084840146386,-0.0471018040119614,0.025807556215043714,0.013900673005247605,0.017688518373322394
7/1/1999,-373.49300000000005,14903.9622,8.8146,155.4607,34.215,-0.5176,-0.2934274191050287,-0.24128994153713357,0.6964942208180831,1.0257863162533842,0.004423986402186442,-0.06871857962912042,-0.03785315977289794,0.025807556215043714,0.014000665899176928,0.01768967501205161
7/2/1999,-373.49300000000005,14903.9622,8.8146,155.4607,33.9136,-0.5176,-0.3091236519053614,-0.2599953552613887,0.6903588019037306,1.0167501626447688,-0.008809001899751645,-0.06638917335623751,-0.035169474648504284,0.025807556215043714,0.013940358520399052,0.017665145939383932
7/5/1999,-373.49300000000005,14903.9622,8.8146,155.4607,33.9136,-0.5176,-0.30704002026963506,-0.2670034041544578,0.6903588019037306,1.0167501626447688,0.0,-0.05462046664622422,-0.027932160249483307,0.025807556215043714,0.013790076358941592,0.017642241328370896
7/6/1999,-373.49300000000005,14903.9622,8.8146,155.4607,34.0266,-0.5176,-0.3005147476009966,-0.2625582791313428,0.6926590750866165,1.0201379707329359,0.0033319966031326587,-0.051470465252418274,-0.027816983902949066,0.025807556215043714,0.013840326136965758,0.01764262905924186
7/7/1999,-373.49300000000005,14903.9622,8.8146,155.4607,33.9513,-0.5176,-0.30469837967134683,-0.2807764143060767,0.6911262381780209,1.0178804313609096,-0.002212974555200864,-0.03326081880669929,-0.04827139625434129,0.025807556215043714,0.013169817965797267,0.017465815324089203
7/8/1999,-373.49300000000005,14903.9622,8.8146,155.4607,33.1173,-0.5176,-0.3258509992956685,-0.26898743195873354,0.6833832706022187,1.0,-0.024564596937378003,-0.07778740041269028,-0.058825368315751136,0.025807556215043714,0.01287479037024916,0.017650433678595166
7/9/1999,-373.49300000000005,14903.9622,8.8146,155.4607,33.1932,-0.5176,-0.31505051505546755,-0.25897426373481247,0.6854714304300148,1.00229185350255,0.002291853502550012,-0.07567382423623048,-0.03198035567428226,0.025807556215043714,0.012917980543114547,0.017368326572433406
7/12/1999,-373.49300000000005,14903.9622,8.8146,155.4607,32.7755,-0.5176,-0.32315447537269826,-0.27630777364070214,0.6815166763702903,1.0,-0.012583902727064444,-0.06473290720237423,-0.043118146465649154,0.025807556215043714,0.012230189547481406,0.017436275533393858
