,free_cash_flow_equity,market_cap,net_income_margin,pe,px,roa,Price Momentum 12M,Price Momentum 12M-1M,Price to 52W High,Price to 52W Low,Return 1D,Return 1M,Return 1Q,Max Daily Return over 1M,Realized Volatility 1M,Realized Volatility 3M
10/1/2012,118.0,13957.9133,11.3187,19.45,22.7875,9.7285,0.0578418401689762,0.018025671378502084,0.8856255635357398,1.110588544915783,0.003580519858012554,0.03911116380450341,-0.013139375251722485,0.037393413126808994,0.01526496584239193,0.013522567950347562
10/2/2012,118.0,13957.9133,11.3187,19.45,22.7965,9.7285,0.012340909292762436,-0.02614727380920656,0.8859753443397694,1.1110271756082346,0.00039495337356010296,0.03952156426415199,-0.00694807457745239,0.037393413126808994,0.015262701024185275,0.013502817989993691
10/3/2012,118.0,13957.9133,11.3187,19.45,22.5888,9.7285,0.010689085857207292,-0.030514677918022093,0.8779031806734446,1.1009045539613225,-0.009111047748557977,0.042500657654871876,-0.0031113052918669837,0.037393413126808994,0.015145820827752924,0.013452491868629905
10/4/2012,118.0,13957.9133,11.3187,19.45,22.7062,9.7285,0.014330769162043122,-0.029228872390039906,0.8824658769393402,1.1066262476606363,0.005197265901685899,0.044871175412197095,0.010084743877755153,0.037393413126808994,0.015160196605836356,0.013428658168090824
10/5/2012,118.0,13957.9133,11.3187,19.45,22.6972,9.7285,0.03236663998253397,0.02538479732188348,0.8821160961353107,1.1061876169681846,-0.0003963675119571519,0.006808997635703085,0.036212563915266616,0.03254835162854408,0.01283912019373638,0.013015224147773908
10/8/2012,118.0,13957.9133,11.3187,19.45,22.6701,9.7285,0.03113401499163082,0.030724656138563455,0.8810628672698443,1.1048668512164692,-0.0011939798741693597,0.00039715636045922764,0.05357059867827907,0.03254835162854408,0.012795220695030151,0.012805522756618498
10/9/2012,118.0,13957.9133,11.3187,19.45,22.3812,9.7285,-0.013496478221391661,-0.021853539850313353,0.8698349034604981,1.090786805988771,-0.012743657945928799,0.008543773319634296,0.0737993570983062,0.03254835162854408,0.012253442959705563,0.0122524639285731
10/10/2012,118.0,13957.9133,11.3187,19.45,22.1735,9.7285,-0.03137381671086026,0.0009697838081050847,0.8617627397941735,1.080664184341859,-0.00928011009239893,-0.03231226460794545,0.05790103960419657,0.014603740760653405,0.009965419458252937,0.012309597362205152
10/11/2012,118.0,13957.9133,11.3187,19.45,21.9569,9.7285,-0.04009355600244824,-0.013255224272099464,0.8533446817771975,1.070107805676856,-0.009768417254831241,-0.027198858702394135,0.054352941176470715,0.014603740760653405,0.00967444177861632,0.012349021726174537
10/12/2012,118.0,13957.9133,11.3187,19.45,22.2187,9.7285,-0.0003059548716565219,0.030159051539897952,0.863519416721077,1.0828670851528384,0.011923358944113227,-0.029573109478594484,0.04481886238808208,0.014603740760653405,0.009487251863783547,0.012158217166855077
10/15/2012,118.0,13957.9133,11.3187,19.45,22.326999999999998,9.7285,-0.01895994903003284,0.01436386405079415,0.867728445729565,1.08814527448534,0.0048742725722026314,-0.0328519323901687,0.037625363659178124,0.014603740760653405,0.00934170585240875,0.012087364676126778
10/16/2012,118.0,13957.9133,11.3187,19.45,22.9048,9.7285,-0.0013646609493330741,-0.0025462044549857676,0.8901843733482574,1.1163053649407362,0.025878980606440782,0.0011845596366768518,0.05609501941147732,0.025878980606440782,0.010918256480246686,0.012467033338066997
10/17/2012,118.0,13957.9133,11.3187,19.45,22.643,9.7285,-0.04674699200956489,-0.02280094639083241,0.8800096384043777,1.1035460854647536,-0.011429918619678014,-0.024504777742355155,0.05850454619825629,0.025878980606440782,0.010665710498387949,0.012427622577674399
