Companies,Ticker,PE_Calc,PBV_Calc,IQ_MarketCap,IQ_TOTAL_DEBT_CAPITAL,IQ_NI_NORM_MARGIN,Return on Equity_Calc,IQ_RETURN_ASSETS,IQ_BETA_2YR
International Business Machines Corporation,NYSE:IBM,17.34703009,6.597397934,118462.8659,79.8026,8.9053,38.36919131,5.1282,1.04578
A. O. Smith Corporation,NYSE:AOS,23.78911721,4.483068341,7424.85678,18.3011,10.4647,18.53532137,10.4811,1.13061
Abbott Laboratories,NYSE:ABT,58.76856633,4.719477083,150159.5739,38.4486,8.1386,8.044777968,4.2152,1.0721
AbbVie Inc.,NYSE:ABBV,17.41775285,-15.58598448,128213.7902,126.8665,22.475,-87.65905515,13.4459,1.2402
"Abiomed, Inc.",NasdaqGS:ABMD,51.07725696,8.161617083,8076.89417,1.265,19.2828,15.91358916,15.4357,1.7911
Accenture plc,NYSE:ACN,33.5831178,8.926164339,128469.3088,0.1525,8.8946,27.24327512,14.5307,1.03388
"Activision Blizzard, Inc.",NasdaqGS:ATVI,35.37805283,3.545874437,43391.32875,19.427,17.7585,10.12122238,7.1158,0.77789
Adobe Inc.,NasdaqGS:ADBE,81.56524495,14.37935478,147034.0367,28.7719,17.0528,17.92596176,10.6441,1.15184
"Advance Auto Parts, Inc.",NYSE:AAP,26.23567682,3.107448348,10733.62084,47.9935,4.3954,11.68935836,4.5401,0.86216
"Advanced Micro Devices, Inc.",NasdaqGS:AMD,248.896456,20.20662257,43954.87853,33.7998,2.781,8.563143599,4.6354,2.07669
"Affiliated Managers Group, Inc.",NYSE:AMG,-24.4868258,1.356470115,4128.5142,31.0394,-7.8374,-5.45808942,5.5756,1.39981
Aflac Incorporated,NYSE:AFL,15.47008049,1.324772217,38939.65543,22.2451,11.767,8.772108216,1.8569,0.8487
"Agilent Technologies, Inc.",NYSE:A,45.60413728,5.428974925,25815.7937,33.6408,11.1248,11.91730942,6.5372,1.17514
"Air Products and Chemicals, Inc.",NYSE:APD,36.45750596,4.576364265,50589.58579,22.6133,15.5488,12.36488855,7.3561,0.81692
"Akamai Technologies, Inc.",NasdaqGS:AKAM,42.53042054,3.87113037,13550.26146,38.6626,11.3368,9.290613654,5.6927,0.96984
"Alaska Air Group, Inc.",NYSE:ALK,14.02357154,1.934987998,8220.59445,44.0894,6.8106,14.26952107,5.0678,0.85481
Albemarle Corporation,NYSE:ALB,15.28332449,1.814923664,6963.18928,33.9808,12.9384,11.92744832,5.9825,1.16991
"Alexandria Real Estate Equities, Inc.",NYSE:ARE,181.0175123,2.328214423,18318.17717,43.8788,6.5862,1.292947953,1.6774,0.56204
"Alexion Pharmaceuticals, Inc.",NasdaqGS:ALXN,20.15008594,2.337405685,24231.33067,21.6748,25.6672,11.79056858,8.8258,1.53959
"Align Technology, Inc.",NasdaqGS:ALGN,73.2559687,16.61415949,21691.69043,4.1883,13.079,22.25372001,14.1338,1.81612
Allegion plc,NYSE:ALLE,37.26897771,17.06779864,11678.6818,68.6882,11.1776,46.73652527,12.5949,0.98806
Allergan plc,NYSE:AGN,460.0670479,1.047223178,61269.68199,28.2927,0.8483,0.22524372,0.6267,1.15925
Alliance Data Systems Corporation,NYSE:ADS,7.947660571,3.248465079,4858.0084,93.7747,8.9216,33.40550898,3.0072,1.25475
Alliant Energy Corporation,NasdaqGS:LNT,34.35099672,2.565360094,12747.79002,55.9231,10.0587,7.632244883,2.8365,0.27557
Alphabet Inc.,NasdaqGS:GOOG.L,40.84964838,4.763579737,927376.8873,7.0877,14.7327,11.77136377,8.5449,1.13541
"Altria Group, Inc.",NYSE:MO,14.33150509,8.911013871,93966.76345,72.3269,33.2166,52.43374912,13.6193,0.64775
"Amazon.com, Inc.",NasdaqGS:AMZN,103.3537119,15.31847469,867010.5146,56.8966,3.1373,15.27271181,5.2185,1.36685
Amcor plc,ASX:AMC,43.1744589,4.536852976,24407.07129,53.6766,4.4196,10.35000272,0,0.2639
Ameren Corporation,NYSE:AEE,30.24201683,2.286988182,18439.93291,53.84,10.5806,7.688487124,3.0154,0.21261
American Airlines Group Inc.,NasdaqGS:AAL,6.880211068,73.5346456,11766.2371,99.5375,3.8689,2471.949598,4.1637,1.38983
"American Electric Power Company, Inc.",NYSE:AEP,32.79487809,2.308545426,45517.65948,59.71,8.8057,7.120579572,2.6529,0.25824
American Express Company,NYSE:AXP,19.5691034,4.301647313,98716.19148,72.9362,13.168,22.09617655,3.6923,1.13281
"American International Group, Inc.",NYSE:AIG,27.9220995,0.673456541,43854.26046,34.3326,3.1387,2.43171321,0.6689,0.84852
American Tower Corporation (REIT),NYSE:AMT,64.51278455,17.87768036,93708.47843,81.6833,18.6017,27.08475202,5.3768,0.39249
"American Water Works Company, Inc.",NYSE:AWK,41.69756333,3.530702215,21855.83883,59.9197,14.7906,8.577619999,3.4411,0.34013
"Ameriprise Financial, Inc.",NYSE:AMP,15.24408042,3.494982933,20842.69052,48.8877,11.3946,23.20846571,1.4523,1.58863
AmerisourceBergen Corporation,NYSE:ABC,17.0414769,6.223826497,17845.21664,60.0192,0.5951,35.9763183,3.0363,1.307
"AMETEK, Inc.",NYSE:AME,33.94349287,4.635310477,22555.25868,34.9049,12.9332,13.93391899,8.3697,1.09749
Amgen Inc.,NasdaqGS:AMGN,24.96106667,12.76807724,139044.8904,73.4807,24.6847,51.71701882,9.8192,1.1029
Amphenol Corporation,NYSE:APH,32.44629041,7.548404061,31407.36652,49.5477,11.7279,23.32704687,10.2411,1.08151
"Analog Devices, Inc.",NasdaqGS:ADI,43.08757731,3.643961812,42667.82945,32.4725,16.5662,8.440590466,5.3981,1.20731
"ANSYS, Inc.",NasdaqGS:ANSS,64.08767453,7.244540899,21534.82,3.5574,22.7923,11.50449738,9.7158,1.26766
"Anthem, Inc.",NYSE:ANTM,21.26205367,2.272779737,71149.97338,40.5092,3.3837,10.82607338,5.0524,0.84364
Aon plc,NYSE:AON,33.81648086,13.75438267,48037.972,70.4505,13.3877,38.90248762,6.3163,0.89365
Apache Corporation,NYSE:APA,-118.1369011,1.269917807,8002.05219,50.6157,-1.0869,-1.053949605,1.5944,1.44668
Apartment Investment and Management Company,NYSE:AIV,-481.6337976,4.498511554,7672.02787,69.745,-1.7391,-0.918278453,1.8292,0.53085
3M Company,NYSE:MMM,25.74917369,9.06690997,97034.04753,65.459,11.8493,36.26807255,10.0516,1.24184
"Applied Materials, Inc.",NasdaqGS:AMAT,27.37794925,6.612710651,54538.42175,39.277,13.8323,24.34754137,11.38,1.56051
Aptiv PLC,NYSE:APTV,28.77708974,6.668540752,23739.23893,55.958,5.805,23.34791529,7.2181,1.32105
Archer-Daniels-Midland Company,NYSE:ADM,23.66202307,1.305362819,24622.23571,34.002,1.6402,5.509689132,2.3659,0.82935
Arconic Inc.,NYSE:ARNC,19.61954541,2.920452048,13520.7494,58.3811,5.1225,14.73845124,5.1939,1.54109
"Arista Networks, Inc.",NYSE:ANET,26.56784017,5.4984298,14609.79071,3.7208,22.3207,21.24211072,16.1054,1.37128
Arthur J. Gallagher & Co.,NYSE:AJG,49.85745961,3.637031637,17615.23212,50.2964,5.1154,7.258904968,2.5674,0.74627
"Assurant, Inc.",NYSE:AIZ,25.59115831,1.399480365,7899.02984,39.3987,3.2859,5.454352294,0.8989,0.7839
AT&T Inc.,NYSE:T,24.84120373,1.522924462,278831.85,50.4042,6.1646,6.111170437,3.2265,0.86328
Atmos Energy Corporation,NYSE:ATO,30.84767808,2.2248063,12793.62802,40.9906,14.0354,7.24605226,3.7094,0.2157
"Autodesk, Inc.",NasdaqGS:ADSK,274.2762917,-230.4406388,39526.72848,109.1613,4.6207,-78.6861612,4.1453,1.54864
"Automatic Data Processing, Inc.",NasdaqGS:ADP,37.36438542,13.52096461,72364.4284,54.5294,13.5261,36.08831475,5.2248,0.98323
"AutoZone, Inc.",NYSE:AZO,23.96119335,-16.57937002,29446.45365,129.5126,10.6054,-70.98195499,12.5334,0.49891
"AvalonBay Communities, Inc.",NYSE:AVB,75.27179411,2.732600594,29551.82238,40.9358,16.9064,3.640867128,2.7494,0.50317
Avery Dennison Corporation,NYSE:AVY,24.16746877,10.26114905,10839.51067,66.9645,6.4367,42.51896574,9.6952,1.12157
Baker Hughes Company,NYSE:BKR,20.9600207,0.673040171,14739.02479,18.5101,2.3105,3.209903754,2.0113,1.24507
Ball Corporation,NYSE:BLL,42.86951211,6.248373584,20893.76283,67.5895,4.3054,14.43073996,4.3224,0.698
Bank of America Corporation,NYSE:BAC,15.30983762,1.247754117,302595.413,0,24.4798,8.234387434,1.1631,1.2848
Baxter International Inc.,NYSE:BAX,37.16272177,5.421571073,42381.24269,42.4754,10.5031,14.7429477,6.7331,0.85573
"Becton, Dickinson and Company",NYSE:BDX,48.08274963,3.349198815,70606.25941,47.9108,8.4767,6.891328922,3.4553,1.06092
Berkshire Hathaway Inc.,NYSE:BRK.A,26.73752866,1.369423012,544013.7417,21.2019,8.0562,5.224265968,3.2286,1.05454
"Best Buy Co., Inc.",NYSE:BBY,17.21415327,6.974656446,21693.31338,56.7294,3.0062,39.89136391,8.2103,1.14668
Biogen Inc.,NasdaqGS:BIIB,12.65389773,3.798014708,52730.53001,31.5013,31.2631,31.41317793,17.1369,1.36761
"BlackRock, Inc.",NYSE:BLK,23.61358459,2.364968945,76641.5473,16.9163,23.4522,10.10159818,1.9809,1.31619
Booking Holdings Inc.,NasdaqGS:BKNG,26.05325775,13.61967262,80609.05552,60.4899,21.8624,55.68433869,14.5389,1.0915
BorgWarner Inc.,NYSE:BWA,13.27828171,2.035279412,9071.23999,32.0771,6.7011,15.43778162,7.4326,1.26967
"Boston Properties, Inc.",NYSE:BXP,75.13188714,3.878176283,21228.0099,60.525,9.6676,5.141052443,3.1747,0.79473
Boston Scientific Corporation,NYSE:BSX,66.51790458,6.297071761,61077.3498,53.591,8.8048,9.594739257,4.7231,1.12866
Bristol-Myers Squibb Company,NYSE:BMY,19.4510327,5.761765181,146300.5732,59.2096,21.6853,31.08620092,9.8363,0.75431
Broadcom Inc.,NasdaqGS:AVGO,53.98004028,5.917711749,126823.5795,63.5961,10.7006,10.80860567,5.1419,0.9694
"Broadridge Financial Solutions, Inc.",NYSE:BR,37.89907966,11.96915802,13691.04073,63.7751,8.3823,31.76139141,10.2903,0.86468
Brown-Forman Corporation,NYSE:BF.B,46.44152213,15.69270061,29714.64899,56.3202,19.266,36.3955345,12.9648,0.64208
